0;1;2
C1.01.06::garthur;3;
C1.01.06::garthur;4;
C1.01.06::garthur;5;
C1.01.06::garthur;6;
C1.01.06::garthur;7;
C1.01.06::garthur;8;
C1.01.06::garthur;9;
C1.01.06::garthur;10;
C1.01.06::rkatyusia;1;
C1.01.06::rkatyusia;2;
C1.01.06::rkatyusia;3;
C1.01.06::rkatyusia;4;
C1.01.06::rkatyusia;5;
C1.01.06::rkatyusia;6;
C1.01.06::rkatyusia;7;
C1.01.06::rkatyusia;8;
C1.01.06::rkatyusia;9;
C1.01.06::rkatyusia;10;
C1.01.06::apaula;1;122.97
C1.01.06::apaula;2;114.47
C1.01.06::apaula;3;83.78
C1.01.06::apaula;4;81.51
C1.01.06::apaula;5;68.12
C1.01.06::apaula;6;67.28
C1.01.06::apaula;7;69.64
C1.01.06::apaula;8;71.5
C1.01.06::apaula;9;71.5
C1.01.06::apaula;10;71.5
C1.03.09.07::vago.cotavio;1;113.06
C1.03.09.07::vago.cotavio;2;113.85
C1.03.09.07::vago.cotavio;3;113.89
C1.03.09.07::vago.cotavio;4;114.66
C1.03.09.07::vago.cotavio;5;117.0
C1.03.09.07::vago.cotavio;6;116.14
C1.03.09.07::vago.cotavio;7;119.59
C1.03.09.07::vago.cotavio;8;120.97
C1.03.09.07::vago.cotavio;9;121.58
C1.03.09.07::vago.cotavio;10;100.68
C1.01.10.4::vgabriela;1;95.41
C1.01.10.4::vgabriela;2;94.55
C1.01.10.4::vgabriela;3;91.24
C1.01.10.4::vgabriela;4;86.77
C1.01.10.4::vgabriela;5;66.9
C1.01.10.4::vgabriela;6;87.72
C1.01.10.4::vgabriela;7;92.86
C1.01.10.4::vgabriela;8;92.48
C1.01.10.4::vgabriela;9;92.74
C1.01.10.4::vgabriela;10;65.16
C1.01.10.2::ckaio;1;91.0
C1.01.10.2::ckaio;2;91.0
C1.01.10.2::ckaio;3;88.79
C1.01.10.2::ckaio;4;84.81
C1.01.10.2::ckaio;5;65.0
C1.01.10.2::ckaio;6;96.41
C1.01.10.2::ckaio;7;103.54
C1.01.10.2::ckaio;8;104.0
C1.01.10.2::ckaio;9;104.0
C1.01.10.2::ckaio;10;103.33
C1.02::pcrodrigo;1;44.31
C1.02::pcrodrigo;2;41.79
C1.02::pcrodrigo;3;65.43
C1.02::pcrodrigo;4;64.37
C1.02::pcrodrigo;5;65.29
C1.02::pcrodrigo;6;58.38
C1.02::pcrodrigo;7;57.28
C1.02::pcrodrigo;8;59.44
C1.02::pcrodrigo;9;59.48
C1.02::pcrodrigo;10;59.49
C1.02.02::antigo.ncassio;1;60.61
C1.02.02::antigo.ncassio;2;62.85
C1.02.02::antigo.ncassio;3;87.72
C1.02.02::antigo.ncassio;4;86.57
C1.02.02::antigo.ncassio;5;92.68
C1.02.02::antigo.ncassio;6;93.27
C1.02.02::antigo.ncassio;7;92.12
C1.02.02::antigo.ncassio;8;92.14
C1.02.02::antigo.ncassio;9;92.25
C1.02.02::antigo.ncassio;10;92.34
C1.02.02::ncassio;1;
C1.02.02::ncassio;2;
C1.02.02::ncassio;3;
C1.02.02::ncassio;4;
C1.02.02::ncassio;5;
C1.02.02::ncassio;6;
C1.02.02::ncassio;7;
C1.02.02::ncassio;8;
C1.02.02::ncassio;9;
C1.02.02::ncassio;10;
C1.02.03::fvandoir;1;45.88
C1.02.03::fvandoir;2;68.83
C1.02.03::fvandoir;3;67.91
C1.02.03::fvandoir;4;90.96
C1.02.03::fvandoir;5;67.07
C1.02.03::fvandoir;6;89.67
C1.02.03::fvandoir;7;89.83
C1.02.03::fvandoir;8;89.68
C1.02.03::fvandoir;9;89.83
C1.02.03::fvandoir;10;90.11
C1.02.03.09::sallan;1;103.23
C1.02.03.09::sallan;2;103.66
C1.02.03.09::sallan;3;101.83
C1.02.03.09::sallan;4;101.27
C1.02.03.09::sallan;5;100.82
C1.02.03.09::sallan;6;100.85
C1.02.03.09::sallan;7;100.93
C1.02.03.09::sallan;8;100.45
C1.02.03.09::sallan;9;100.23
C1.02.03.09::sallan;10;100.04
C1.06.06.05::antigo.cbleandro;1;56.63
C1.06.06.05::antigo.cbleandro;2;54.09
C1.06.06.05::antigo.cbleandro;3;44.15
C1.06.06.05::antigo.cbleandro;4;44.31
C1.06.06.05::antigo.cbleandro;5;32.42
C1.06.06.05::antigo.cbleandro;6;32.4
C1.06.06.05::antigo.cbleandro;7;42.48
C1.06.06.05::antigo.cbleandro;8;42.48
C1.06.06.05::antigo.cbleandro;9;42.48
C1.06.06.05::antigo.cbleandro;10;42.48
C1.03.10.04::OP001orafael;1;
C1.03.10.04::OP001orafael;2;
C1.03.10.04::OP001orafael;3;
C1.03.10.04::OP001orafael;4;
C1.03.10.04::OP001orafael;5;
C1.03.10.04::OP001orafael;6;
C1.03.10.04::OP001orafael;7;
C1.03.10.04::OP001orafael;8;
C1.03.10.04::OP001orafael;9;
C1.03.10.04::OP001orafael;10;
C1.03.10.04::orafael;1;
C1.03.10.04::orafael;2;
C1.03.10.04::orafael;3;
C1.03.10.04::orafael;4;
C1.03.10.04::orafael;5;
C1.03.10.04::orafael;6;
C1.03.10.04::orafael;7;
C1.03.10.04::orafael;8;
C1.03.10.04::orafael;9;
C1.03.10.04::orafael;10;
C1.03.10.45::fricardo;1;
C1.03.10.45::fricardo;2;
C1.03.10.45::fricardo;3;
C1.03.10.45::fricardo;4;
C1.03.10.45::fricardo;5;
C1.03.10.45::fricardo;6;
C1.03.10.45::fricardo;7;
C1.03.10.45::fricardo;8;41.43
C1.03.10.45::fricardo;9;72.17
C1.03.10.45::fricardo;10;52.17
C1.02.02.01::ncassio;1;
C1.02.02.01::ncassio;2;
C1.02.02.01::ncassio;3;
C1.02.02.01::ncassio;4;
C1.02.02.01::ncassio;5;
C1.02.02.01::ncassio;6;
C1.02.02.01::ncassio;7;
C1.02.02.01::ncassio;8;38.28
C1.02.02.01::ncassio;9;90.63
C1.02.02.01::ncassio;10;91.5
C1.06.06.06::cbleandro;1;
C1.06.06.06::cbleandro;2;
C1.06.06.06::cbleandro;3;
C1.06.06.06::cbleandro;4;
C1.06.06.06::cbleandro;5;
C1.06.06.06::cbleandro;6;
C1.06.06.06::cbleandro;7;
C1.06.06.06::cbleandro;8;38.03
C1.06.06.06::cbleandro;9;88.52
C1.06.06.06::cbleandro;10;67.6
C1.03::OP001vluiz;1;
C1.03::OP001vluiz;2;
C1.03::OP001vluiz;3;
C1.03::OP001vluiz;4;
C1.03::OP001vluiz;5;
C1.03::OP001vluiz;6;
C1.03::OP001vluiz;7;
C1.03::OP001vluiz;8;
C1.03::OP001vluiz;9;
C1.03::OP001vluiz;10;
C1.03.01::nmarcelo;1;53.64
C1.03.01::nmarcelo;2;51.36
C1.03.01::nmarcelo;3;52.32
C1.03.01::nmarcelo;4;63.62
C1.03.01::nmarcelo;5;57.59
C1.03.01::nmarcelo;6;59.85
C1.03.01::nmarcelo;7;66.19
C1.03.01::nmarcelo;8;64.67
C1.03.01::nmarcelo;9;65.71
C1.03.01::nmarcelo;10;59.53
C1.03.01::pjacqueline;1;
C1.03.01::pjacqueline;2;
C1.03.01::pjacqueline;3;
C1.03.01::pjacqueline;4;
